id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
victory,1,7,6,0.7737467947950618,0.03271907889905134,0.0016426246430289737,0.03271907889905131,0.03271907889905131,5,victory
run,1,3,9,1.1030335431420821,0.02886397893037425,0.0019776039928615305,0.028863978930374283,0.028863978930374283,8,run
pull,1,2,3,0.3354891231326729,0.008468109279088205,0.0016183086725201272,0.008468109279088205,0.008468109279088205,2,pull
foot,1,3,5,0.5264027563585227,0.0024246350758974156,0.0015271702539741395,0.002424635075897412,0.002424635075897412,4,foot
credit,1,3,4,0.469034328296312,0.005657819607604979,0.00118375391718385,0.005657819607604971,0.005657819607604971,4,credit
protect,1,7,13,1.513664142283123,0.045392584943397464,0.002849077505798098,0.045392584943397485,0.045392584943397485,7,protect
start,1,2,11,1.287384307336267,0.08708138210057731,0.0022993118917419256,0.08708138210057728,0.08708138210057728,7,start
fellow,1,6,10,1.1515715430992768,0.033477191960059875,0.002268991282893058,0.03347719196005989,0.03347719196005989,7,fellow
ship,1,4,5,0.5979706771690492,0.018921686236786996,0.0013831389894768456,0.018921686236787007,0.018921686236787007,5,ship
draft,1,5,15,1.906700340553621,0.03250779059841416,0.00311188237364327,0.032507790598414195,0.032507790598414195,10,draft
govern,1,6,12,1.4314875402880314,0.05962133612050181,0.0025066618745033294,0.05962133612050181,0.05962133612050181,8,govern
deal,1,1,10,1.2094992831369444,0.04137456153987048,0.0022311155279162095,0.041374561539870486,0.041374561539870486,8,deal
expect,1,7,6,0.6836224939537703,0.006572855880986948,0.0018511909242411974,0.0065728558809869195,0.0065728558809869195,5,expect
tell,1,6,15,1.7742879134378988,0.02018694088659942,0.003175921226466596,0.020186940886599402,0.020186940886599402,10,tell
black,1,2,9,0.9861036298248416,0.09033020611888325,0.001907656401645239,0.09033020611888322,0.09033020611888322,7,black
speak,1,7,4,0.42313381524128835,0.015091163610473446,0.0012857240256073988,0.015091163610473423,0.015091163610473423,4,speak
past,1,5,5,0.6745705475397896,0.006375437556331263,0.0014936345185037189,0.00637543755633126,0.00637543755633126,5,past
mile,1,6,10,1.2051446657592022,0.03164698187229016,0.0021774244940987414,0.03164698187229027,0.03164698187229027,8,mile
punish,1,5,4,0.4691015294483186,0.003328579645210856,0.0013426843967933905,0.003328579645210836,0.003328579645210836,3,punish
theater,1,4,6,0.8721342861678539,0.009686221724659928,0.002067714651931092,0.009686221724659922,0.009686221724659922,4,theater
satisfy,1,1,8,0.9860346507027842,0.024815518681158548,0.001776377068411799,0.02481551868115859,0.02481551868115859,7,satisfy
serve,1,3,11,1.2822370920027393,0.05304509260021285,0.002224529938278812,0.05304509260021287,0.05304509260021287,8,serve
lot,1,6,11,1.2450384712814813,0.06795577291453232,0.002044024793271588,0.06795577291453238,0.06795577291453238,10,lot
discharge,1,1,2,0.39318537279387783,0.005580603549060005,9.809568713130136e-4,0.005580603549060008,0.005580603549060008,2,discharge
kill,1,2,10,1.2082307190689443,0.08964624246567521,0.0021642476325459724,0.0896462424656752,0.0896462424656752,7,kill
fly,1,1,2,0.35030356577449306,0.005174671873439552,9.023705625232874e-4,0.005174671873439565,0.005174671873439565,2,fly
idea,1,7,4,0.5234736482853837,0.014342783707312696,0.0014102434405694904,0.014342783707312701,0.014342783707312701,4,idea
prove,1,3,6,0.7962894174101842,0.06397445776450453,0.0014819532403245544,0.06397445776450453,0.06397445776450453,6,prove
